******************************直接定向结果分析******************************
前方交会地面点坐标XYZ：
点号			X						Y						Z
8            64.07431885            10.34504019            31.71343020
9            67.39506302            10.08160798            30.40835676
10            70.33296566             8.36445168            32.62673109
11            65.92595334             6.72677080            33.22361909
12            63.00061984             7.63888484            25.16750814
13            66.93811905             6.79388063            38.89702295
14            67.26674718             6.50619033            24.84082186
15            66.17903556            19.16630244            30.99896742
16            62.45595700             7.25353154            32.69196257
17            62.49526760             5.24340522            29.08513598
18            65.71645403             5.48259359            32.34721384
19            64.47765121             7.02744524            29.11673725
20            72.46885590            14.28794919            23.16625624
21            60.17953422            14.01589149            25.65941372
22            66.49581357             5.41050139            35.04191133
23            66.50115579             7.44911466            31.79836628
24            64.76204586            11.89043594            24.89083878
25            68.27870871             8.33527662            23.35353204
26            64.37410036             7.77456146            35.20207174
27            65.90062229             6.23352377            31.64262053
28            63.88649417             5.69747486            33.85633472
29            69.25346671            13.88260286            29.75763251
30            66.55642289            20.41901156            35.91526029
31            64.52094828            11.26561763            30.85153787
32            64.66449623            15.18506510            29.11743177
33            67.29369648             9.16091679            34.67050193
34            66.32157571             8.17930282            29.77016511
35            67.23367794            13.17589752            27.53113994
36            64.04123459            13.23949665            32.77040025
37            58.31920455            -2.40985964            29.90441207
38            71.05978714            14.34987665            32.53441278
39            66.68471418             6.87216130            28.73239089
40            66.10318481             1.93843240            32.66199289
41            59.52949236             2.50805986            29.89740027
42            58.83815103             6.42224015            26.17003383
物方最大误差
         72.46885590            20.41901156            38.89702295
物方中误差
         65.48955482            10.14566163            30.67656459
******************************直接定向结果分析end******************************


******************************光束法平差后结果分析******************************
反投影差值：
点号			左片du					左片dv					右片du					右片du
8             0.00136982             1.40139368            -0.00143391            -1.40507766
9            -0.00185706            -0.52934711             0.00185841             0.53080675
10             0.00149111             0.72853103            -0.00158846            -0.73044719
11            -0.00000044             0.06576402            -0.00000305            -0.06593767
12            -0.00316360            -1.33279876             0.00319679             1.33636079
13            -0.00023943            -0.12289638             0.00025492             0.12322585
14            -0.00217378            -1.28197065             0.00221108             1.28538372
15             0.00678661             1.52432620            -0.00670594            -1.52871034
16            -0.00196879            -0.81386711             0.00198111             0.81611236
17            -0.00191673            -1.57319577             0.00203377             1.57751892
18             0.00052220             0.41805477            -0.00051405            -0.41921570
19            -0.00027326            -0.84254514             0.00027691             0.84483906
20            -0.00003802            -0.23182411             0.00004332             0.23245456
21            -0.00026115            -0.41988185             0.00027742             0.42102189
22            -0.00013749            -0.07756438             0.00014249             0.07777794
23            -0.00027366            -0.79629267             0.00029735             0.79845228
24             0.00000251             0.11056666            -0.00000806            -0.11086388
25            -0.00079888            -1.53549136             0.00092670             1.53967453
26            -0.00095450            -0.29175404             0.00102339             0.29259134
27             0.00321868             0.71145977            -0.00315120            -0.71349677
28            -0.00269118            -0.71568712             0.00261466             0.71774438
29             0.00149503             1.85197271            -0.00162050            -1.85699105
30             0.00081773             1.29373369            -0.00095344            -1.29728663
31             0.00070705             0.82665124            -0.00080194            -0.82893271
32             0.00003817             0.02590190            -0.00004196            -0.02597392
33            -0.00066744            -0.38508116             0.00073087             0.38616268
34            -0.00560303            -0.79472187             0.00554934             0.79702394
35             0.01063486             1.44933738            -0.01081848            -1.45344193
36             0.00352705             1.03951769            -0.00363559            -1.04243615
37            -0.00804279            -0.63890948             0.00788328             0.64085707
38             0.00576060             1.43162950            -0.00589405            -1.43562896
39            -0.00018579            -0.02470465             0.00018289             0.02477683
40             0.00510086             0.45954766            -0.00502330            -0.46091728
41            -0.01252994            -1.02272885             0.01229138             1.02583397
42            -0.01128348            -1.55882902             0.01177418             1.56342265
像方最大误差
          0.01252994             1.85197271             0.01229138             1.85699105
像方中误差
          0.00435770             0.96802235             0.00438526             0.97071306
----------------------------------------------------------------------------------
地面点坐标：
点号			B						L						H
1            34.72150951           112.95516443           176.92333300
2            34.59280606           113.03013452           443.73300000
3            34.59273045           113.23990586           532.24033300
4            34.81965058           113.33881301           113.04100000
5            34.41593748           113.21766060           342.68700000
6            34.63582901           113.36248980           275.22866670
7            34.72483007           113.04527972           189.30333300
8            34.64557518           112.98529894           288.63344477
9            34.47953241           112.97186353           482.92222488
10            34.83551839           112.95584802            86.06517842
11            34.76072608           113.03693186           112.93411473
12            34.60036258           112.96262663           433.03093666
13            34.87220198           112.99120023            80.45460598
14            34.59027947           112.97963474           380.35255467
15            34.53596564           113.00172376          1080.36194799
16            34.49769992           113.02131425           599.08020400
17            34.47897996           113.07712825           417.27077011
18            34.83222864           113.16565223           156.75001877
19            34.76996002           113.15185143           235.54319632
20            34.59536154           113.15310659          1134.04334911
21            34.55639442           113.09679659           658.68526593
22            34.46276051           113.04190638           375.24886320
23            34.65618480           113.20602739           378.01187601
24            34.58157934           113.18912419           873.30661336
25            34.55745124           113.19687434           441.27554611
26            34.43127795           113.24591379           274.95337777
27            34.77226821           113.31554041           165.63926435
28            34.83110348           113.27034529           116.05228339
29            34.59276322           113.23993491           532.52056929
30            34.51235795           113.16069405           354.62198868
31            34.48576945           113.14221331           343.95083189
32            34.47932593           113.20211333           405.37806556
33            34.44363828           113.17403563           359.81333257
34            34.70918073           113.38057221           163.35806695
35            34.56462054           113.40644311           365.63397803
36            34.56651097           113.30646046           281.87325806
37            34.82887391           113.44787552           102.96547008
38            34.58090706           113.33352193           354.34851033
39            34.75307563           113.38154425           142.15490679
40            34.76981932           113.44106277           146.41335827
41            34.81584459           113.44566883           103.59469885
42            34.43002997           113.35593604           244.36129413
----------------------------------------------------------------------------------
点号			dB						dL						dH
8            -0.05451226            -0.00540626            -1.84255523
9            -0.07651692             0.01654005             3.61222488
10            -0.12708300             0.30874635            -2.81182158
11            -0.14781789             0.06086351            -1.66088527
12             0.07311516            -0.10550006             4.50293666
13            -0.28862095             0.17505319            -6.97906069
14             0.03135221             0.02029632             7.13988797
15             0.07981967             0.14134663            -5.03638501
16            -0.14439355            -0.20762165             2.58620400
17            -0.08149724            -0.26580563             6.62077011
18            -0.12661338             0.04718487            -1.46498123
19            -0.01593282            -0.00838798             0.04786332
20             0.17883393             0.28794327             4.15534911
21             0.18819265            -0.17107374            -0.37373407
22            -0.27139944            -0.11886284             4.68652990
23            -0.11047803            -0.01272399             1.30854301
24             0.14834715            -0.04699063             2.82861336
25             0.10128589             0.00541934             8.01954611
26            -0.21307467            -0.23879050             3.19037777
27            -0.09857126            -0.00812938             0.02926435
28            -0.14490554            -0.04122319            -2.80004961
29             0.02461638             0.13752110            -0.11543071
30            -0.02666543             0.11090524            -7.96801132
31            -0.03653711            -0.11507839             1.68683189
32             0.07734812            -0.07017540             0.01406556
33            -0.19910400            -0.08313304             2.96733257
34            -0.02499882            -0.01963123             1.23606695
35             0.09196379            -0.01000479             2.05697803
36            -0.02884268            -0.09603943            -2.32774194
37            -0.12792859            -0.41331791             4.30847008
38            -0.05132856             0.17638947            -0.96748967
39            -0.01543910             0.00129276             2.04390679
40            -0.19410779            -0.10082901             3.17635827
41            -0.05512817            -0.30050101             1.26036555
42             0.05270946            -0.49160480             7.82596083
物方最大误差
          0.28862095             0.49160480             8.01954611
物方中误差
          0.12752272             0.17526576             3.92593309
----------------------------------------------------------------------------------


地面点坐标XYZ：
点号			X						Y						Z
8      -2051315.88712067       4836046.60395449       3605755.68575554
9      -2054320.31624101       4846291.94573380       3590693.82295309
10      -2044073.89752869       4825892.55644553       3622958.46487851
11      -2052768.26863313       4827369.20492503       3616160.14555271
12      -2050561.44291269       4839587.67520084       3601703.27211655
13      -2046144.28394838       4822484.37670833       3626301.33314020
14      -2052224.91467887       4839522.14150065       3600752.09402384
15      -2055653.01892309       4842419.19485788       3596192.58566425
16      -2058098.53009343       4843552.29177525       3592423.16621657
17      -2063218.53821251       4842486.48460134       3590604.55874086
18      -2061841.99418330       4818616.65830978       3622698.49260983
19      -2062258.42392659       4822797.87629823       3617067.29018507
20      -2066981.68526272       4833569.99629089       3601642.10250433
21      -2063051.49499897       4837494.86452887       3597814.93621797
22      -2060622.21802351       4844659.07461983       3589103.28651192
23      -2069695.22256290       4827557.30364008       3606774.39397904
24      -2070285.14025763       4832867.45510625       3600236.74667582
25      -2071393.74944136       4833652.30215505       3597785.62037879
26      -2078609.78082604       4839031.35974132       3586165.78968831
27      -2075947.19403114       4816698.35153960       3617239.87200731
28      -2070660.64908376       4814875.77026110       3622574.01132405
29      -2074177.33620632       4830126.69735922       3601069.61138787
30      -2069430.24190138       4837512.28239546       3593627.75580520
31      -2068525.04413618       4839697.93096075       3591185.57113039
32      -2073763.25223211       4837954.79761478       3590629.17044421
33      -2072256.43756628       4840988.62779354       3587344.44043498
34      -2082995.28273879       4817998.34733901       3611484.79930626
35      -2088857.99939899       4825576.48993065       3598401.32473365
36      -2080362.30523944       4829042.13905994       3598532.05724121
37      -2085627.92592070       4808547.66072006       3622359.01281069
38      -2082300.58285118       4827283.00976653       3599888.01260419
39      -2081968.41165470       4815400.23907187       3615474.04396419
40      -2086550.34130306       4812261.66675875       3617006.36545851
41      -2085770.22227422       4809390.32853896       3621172.65421850
42      -2087925.37144882       4835077.86919028       3586024.92603003
点号			dX						dY						dZ
1             0.00000000             0.00000000             0.00000000
2             0.00000000             0.00000000             0.00000000
3             0.00000000             0.00000000             0.00000000
4             0.00000000             0.00000000             0.00000000
5             0.00000000             0.00000000             0.00000000
6             0.00000000             0.00000000             0.00000000
7             0.00000000             0.00000000             0.00000000
8            -0.34575788             0.46254292             2.42949515
9             2.07171183            -3.80581110            -0.10116949
10             7.19596306             3.12493532             4.82060906
11             1.90680249            -0.52863527             4.68921791
12            -1.52848049            -3.28354609            -4.41165518
13             3.84257560             2.32616225            11.28741818
14             2.55678222            -4.70444167            -4.84872400
15             1.15219410             6.51139851             0.82875161
16            -3.05627151            -6.35283956             2.20254120
17            -3.54378995            -8.98773774            -1.67778399
18             1.50596754            -0.47172267             4.03947696
19            -0.07057522            -0.37747267             0.37603418
20             6.86209882             2.61774928            -6.89645300
21            -5.42340126             1.59803893            -4.56444418
22             0.57295917            -9.09824305             4.24361718
23             0.88920279            -2.89635673             2.05644145
24            -1.20577613            -0.22707885            -5.36959390
25             2.03109479            -4.38883714            -7.11951323
26            -3.09827705            -8.23532018             3.61173273
27             0.50535273            -1.69482695             2.47848649
28            -0.86267686            -0.64543920             5.26472131
29             3.01290812             1.86595987            -0.55896057
30             0.20181470             6.72116187             5.19165199
31            -1.90315010            -3.01878046            -0.02702583
32            -2.17301610             0.52403304            -1.97281349
33             0.37750983            -6.27509608             3.38156142
34             0.11875277            -1.53356477            -0.07054805
35            -0.19987071            -0.18030781            -3.50075128
36            -2.80733192             0.32863770             2.05258531
37            -7.33226128            -9.48945564             0.77539931
38             4.16818401             1.68777796             1.85142305
39             0.80424799            -1.77729816            -0.77420577
40             0.04258334            -6.54357015             3.10224261
41            -6.20903307            -4.87787150             0.67514789
42            -9.32881607           -10.05924584            -5.76450001
物方最大误差
          9.32881607            10.05924584            11.28741818
物方中误差
          3.48740571             4.72602220             4.03694253
******************************光束法平差后结果分析end******************************
